Correlativo,Servicio,Descripción,Pabellón,Día,Hora inicio,Hora fin,Prioridad,Requiere UCI,Duración agendada (min),Estado,Timestamp Estado
292,OBGYN,Cervical biopsy,4,3,11:45,13:00,2,False,0 days 01:15:00,CANCELADA,2026-02-14 13:00:00
1132,ENT,Tonsillectomy,5,2,12:30,13:30,4,False,0 days 01:00:00,CANCELADA,2026-02-13 13:30:00
1130,ENT,Tonsillectomy,5,1,14:00,15:00,4,False,0 days 01:00:00,CANCELADA,2026-02-12 15:00:00
309,Orthopedics,"Arthroplasty, hip",8,1,08:00,10:00,3,False,0 days 02:00:00,CANCELADA,2026-02-12 10:00:00
2068,Podiatry,Plantar fasciotomy,1,3,14:00,15:00,3,False,0 days 01:00:00,CANCELADA,2026-02-14 14:00:00
1215,Podiatry,Plantar fasciotomy,1,3,15:00,16:00,3,False,0 days 01:00:00,CANCELADA,2026-02-14 15:00:00
1973,Pediatrics,"Tympanostomy, general anesthesia",3,1,16:00,17:00,3,False,0 days 01:00:00,CANCELADA,2026-02-12 17:00:00
364,Urology,Vasectomy,5,1,15:00,16:00,4,False,0 days 01:00:00,CANCELADA,2026-02-12 16:00:00
421,Orthopedics,"ORIF, phalangeal shaft fracture",2,3,14:00,16:00,3,False,0 days 02:00:00,CANCELADA,2026-02-14 14:00:00
594,Orthopedics,"ORIF, phalangeal shaft fracture",2,1,16:00,18:00,3,False,0 days 02:00:00,CANCELADA,2026-02-12 18:00:00
1878,ENT,Tonsillectomy,5,1,11:00,12:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 12:00:00
1233,ENT,Tonsillectomy,5,2,14:00,15:00,5,False,0 days 01:00:00,CANCELADA,2026-02-13 15:00:00
1124,Urology,Vasectomy,4,1,14:00,15:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 15:00:00
1876,ENT,Tonsillectomy,5,2,11:00,12:00,5,False,0 days 01:00:00,CANCELADA,2026-02-13 12:00:00
516,Orthopedics,"Arthroplasty, hip",8,3,14:00,16:00,4,False,0 days 02:00:00,CANCELADA,2026-02-14 14:00:00
1086,Pediatrics,"Tympanostomy, general anesthesia",3,1,15:00,16:00,4,False,0 days 01:00:00,CANCELADA,2026-02-12 16:00:00
1961,Orthopedics,"Arthroplasty, hip",8,1,14:00,16:00,4,False,0 days 02:00:00,CANCELADA,2026-02-12 16:00:00
2122,Urology,Cystourethroscopy,5,1,17:00,18:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 17:00:00
2170,Orthopedics,"Arthroplasty, knee, hinge prothesis",8,2,14:00,16:00,4,False,0 days 02:00:00,CANCELADA,2026-02-13 16:00:00
1981,ENT,Tonsillectomy,5,1,10:00,11:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 11:00:00
581,Pediatrics,"Tympanostomy, general anesthesia",7,1,14:00,15:00,4,False,0 days 01:00:00,CANCELADA,2026-02-12 15:00:00
2000,Orthopedics,"Arthroplasty, knee, hinge prothesis",2,2,16:00,18:00,4,False,0 days 02:00:00,CANCELADA,2026-02-13 18:00:00
1713,General,Laparoscopic cholecystectomy,8,1,12:30,14:00,4,False,0 days 01:30:00,CANCELADA,2026-02-12 14:00:00
634,OBGYN,Cervical biopsy,4,2,11:45,13:00,4,False,0 days 01:15:00,CANCELADA,2026-02-13 13:00:00
1137,Vascular,"Digital amputation, metatarsophalangeal joint",7,1,09:00,10:00,4,False,0 days 01:00:00,CANCELADA,2026-02-12 10:00:00
1116,Orthopedics,"Fasciotomy, palmar, open",2,2,09:30,11:00,4,False,0 days 01:30:00,CANCELADA,2026-02-13 11:00:00
1702,Urology,Cystourethroscopy,5,1,09:00,10:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 10:00:00
1742,Plastic,Removal of benign skin lesion,6,1,13:00,14:00,4,False,0 days 01:00:00,CANCELADA,2026-02-12 14:00:00
438,Plastic,"Adjacent tissue transfer, eyelids, nose, ears, lip",6,1,11:00,13:00,3,False,0 days 02:00:00,CANCELADA,2026-02-12 13:00:00
1094,Urology,Vasectomy,4,1,15:00,16:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 16:00:00
1128,Urology,Cystourethroscopy,4,1,16:00,17:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 17:00:00
467,Urology,Vasectomy,5,1,16:00,17:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 17:00:00
2127,Vascular,"Digital amputation, metatarsophalangeal joint",7,2,10:00,11:00,4,False,0 days 01:00:00,CANCELADA,2026-02-13 11:00:00
1978,Urology,Cystourethroscopy,4,1,13:00,14:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 14:00:00
671,Urology,Cystourethroscopy,4,1,17:00,18:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 17:00:00
1942,OBGYN,Cervical biopsy,4,1,09:15,10:30,4,False,0 days 01:15:00,CANCELADA,2026-02-12 10:30:00
652,General,Laparoscopic cholecystectomy,8,2,09:30,11:00,4,False,0 days 01:30:00,CANCELADA,2026-02-13 11:00:00
1840,OBGYN,Cervical biopsy,4,1,08:00,09:15,4,False,0 days 01:15:00,CANCELADA,2026-02-12 09:15:00
1882,Plastic,"Adjacent tissue transfer, eyelids, nose, ears, lip",6,2,11:00,13:00,3,False,0 days 02:00:00,CANCELADA,2026-02-13 13:00:00
1138,Vascular,AV fistula,7,5,09:45,11:00,2,True,0 days 01:15:00,CANCELADA,2026-02-16 11:00:00
1868,Pediatrics,"Tympanostomy, general anesthesia",3,1,17:00,18:00,4,False,0 days 01:00:00,CANCELADA,2026-02-12 17:00:00
1796,Orthopedics,"Fasciotomy, palmar, open",2,1,08:00,09:30,5,False,0 days 01:30:00,CANCELADA,2026-02-12 09:30:00
273,Podiatry,Bunionectomy with distal osteotomy,1,1,09:00,11:00,5,False,0 days 02:00:00,CANCELADA,2026-02-12 11:00:00
1975,Pediatrics,"Myringotomy, general anesthesia",3,1,09:00,10:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 10:00:00
527,Pediatrics,"Tympanostomy, general anesthesia",3,1,10:00,11:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 11:00:00
336,Vascular,"Digital amputation, metatarsophalangeal joint",7,1,10:00,11:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 11:00:00
2047,OBGYN,Cervical biopsy,4,1,10:30,11:45,5,False,0 days 01:15:00,CANCELADA,2026-02-12 11:45:00
1039,Podiatry,Bunionectomy with distal osteotomy,1,1,11:00,13:00,5,False,0 days 02:00:00,CANCELADA,2026-02-12 13:00:00
1318,General,Laparoscopic cholecystectomy,8,1,11:00,12:30,5,False,0 days 01:30:00,CANCELADA,2026-02-12 12:30:00
2049,OBGYN,Cervical biopsy,4,1,11:45,13:00,5,False,0 days 01:15:00,CANCELADA,2026-02-12 13:00:00
1110,Podiatry,Plantar fasciotomy,1,1,14:00,15:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 15:00:00
1101,Plastic,"Adjacent tissue transfer, eyelids, nose, ears, lip",6,1,14:00,16:00,4,False,0 days 02:00:00,CANCELADA,2026-02-12 16:00:00
319,Pediatrics,"Tympanostomy, general anesthesia",3,1,14:00,15:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 15:00:00
1828,Orthopedics,"Arthroplasty, knee, hinge prothesis",2,1,14:00,16:00,5,False,0 days 02:00:00,CANCELADA,2026-02-12 16:00:00
1111,Podiatry,Plantar fasciotomy,1,1,16:00,17:00,5,False,0 days 01:00:00,CANCELADA,2026-02-12 17:00:00
2023,Vascular,AV fistula,7,1,16:45,18:00,3,True,0 days 01:15:00,CANCELADA,2026-02-12 16:45:00
1020,OBGYN,Cervical biopsy,4,2,10:30,11:45,5,False,0 days 01:15:00,CANCELADA,2026-02-13 11:45:00
1109,General,Laparoscopic cholecystectomy,8,2,11:00,12:30,5,False,0 days 01:30:00,CANCELADA,2026-02-13 12:30:00
676,Plastic,"Adjacent tissue transfer, eyelids, nose, ears, lip",6,2,14:00,16:00,4,False,0 days 02:00:00,CANCELADA,2026-02-13 16:00:00
414,Podiatry,Plantar fasciotomy,1,2,14:00,15:00,5,False,0 days 01:00:00,CANCELADA,2026-02-13 15:00:00
1854,General,Sleeve gastrectomy,8,2,16:00,18:00,5,False,0 days 02:00:00,CANCELADA,2026-02-13 18:00:00
2067,Podiatry,Plantar fasciotomy,1,2,16:00,17:00,5,False,0 days 01:00:00,CANCELADA,2026-02-13 17:00:00
2162,Plastic,Removal of benign skin lesion,6,3,11:00,12:00,4,False,0 days 01:00:00,CANCELADA,2026-02-14 12:00:00
2092,Plastic,"Adjacent tissue transfer, eyelids, nose, ears, lip",6,3,14:00,16:00,3,False,0 days 02:00:00,CANCELADA,2026-02-14 14:00:00
1117,Orthopedics,"ORIF, phalangeal shaft fracture",2,3,16:00,18:00,5,False,0 days 02:00:00,CANCELADA,2026-02-14 16:00:00
2133,General,Laparoscopic cholecystectomy,8,3,16:30,18:00,5,False,0 days 01:30:00,CANCELADA,2026-02-14 16:30:00
615,Vascular,AV fistula,7,3,16:45,18:00,3,True,0 days 01:15:00,CANCELADA,2026-02-14 16:45:00
