Inicio,Fin,Tipo,Estado
2026-01-06 14:00:00,2026-01-13 08:00:00,Básica,Ocupada
2026-01-08 09:00:00,2026-01-13 08:00:00,Básica,Ocupada
2026-01-08 10:00:00,2026-01-14 08:00:00,Básica,Ocupada
2026-01-08 15:30:00,2026-01-13 08:00:00,Básica,Ocupada
2026-01-08 17:00:00,2026-01-13 08:00:00,Básica,Ocupada
2026-01-09 18:00:00,2026-01-14 08:00:00,Básica,Ocupada
2026-01-10 18:00:00,2026-01-14 08:00:00,Básica,Ocupada
2026-01-11 09:30:00,2026-01-16 08:00:00,Básica,Ocupada
2026-01-11 15:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 09:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 09:00:00,2026-01-15 08:00:00,Básica,Ocupada
2026-01-12 09:15:00,2026-01-16 08:00:00,Básica,Ocupada
2026-01-12 10:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 10:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 10:00:00,2026-01-16 08:00:00,Básica,Ocupada
2026-01-12 10:00:00,2026-01-15 08:00:00,Básica,Ocupada
2026-01-12 10:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 10:30:00,2026-01-16 08:00:00,Básica,Ocupada
2026-01-12 11:00:00,2026-01-13 08:00:00,Básica,Ocupada
2026-01-12 11:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 11:00:00,2026-01-18 08:00:00,Básica,Ocupada
2026-01-12 11:30:00,2026-01-16 08:00:00,Básica,Ocupada
2026-01-12 12:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 12:00:00,2026-01-13 08:00:00,Básica,Ocupada
2026-01-12 13:00:00,2026-01-18 08:00:00,Básica,Ocupada
2026-01-12 13:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 13:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 13:00:00,2026-01-13 08:00:00,Básica,Ocupada
2026-01-12 14:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 14:00:00,2026-01-13 08:00:00,Básica,Ocupada
2026-01-12 15:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 15:00:00,2026-01-13 08:00:00,Básica,Ocupada
2026-01-12 15:00:00,2026-01-16 08:00:00,Básica,Ocupada
2026-01-12 15:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 15:30:00,2026-01-15 08:00:00,Básica,Ocupada
2026-01-12 16:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 16:00:00,2026-01-16 08:00:00,Básica,Ocupada
2026-01-12 16:00:00,2026-01-16 08:00:00,Básica,Ocupada
2026-01-12 16:00:00,2026-01-15 08:00:00,Básica,Ocupada
2026-01-12 16:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 16:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 17:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 17:00:00,2026-01-15 08:00:00,Básica,Ocupada
2026-01-12 17:00:00,2026-01-15 08:00:00,Básica,Ocupada
2026-01-12 17:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 17:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 18:00:00,2026-01-16 08:00:00,Básica,Ocupada
2026-01-12 18:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 18:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-12 18:00:00,2026-01-15 08:00:00,Básica,Ocupada
2026-01-12 18:00:00,2026-01-15 08:00:00,Básica,Ocupada
2026-01-12 18:00:00,2026-01-17 08:00:00,Básica,Ocupada
2026-01-11 16:30:00,2026-01-14 08:00:00,UCI,Ocupada
2026-01-11 18:00:00,2026-01-16 08:00:00,UCI,Ocupada
